Size,Block_Size,Time_Mean,Time_Std,Time_Min,Time_Max,Runs
200,8,5.000000,0.000000,5.000000,5.000000,3
200,16,5.000000,0.000000,5.000000,5.000000,3
200,32,0.000123,0.000001,0.000123,0.000124,3
400,8,0.000678,0.000001,0.000677,0.000679,3
400,16,0.000687,0.000001,0.000687,0.000688,3
400,32,0.000720,0.000001,0.000720,0.000721,3
800,8,0.005755,0.000620,0.005384,0.006470,3
800,16,0.005948,0.000999,0.005364,0.007101,3
800,32,0.005740,0.000500,0.005442,0.006317,3
1200,8,0.022536,0.000925,0.021943,0.023602,3
1200,16,0.018039,0.000022,0.018013,0.018052,3
1200,32,0.018299,0.000019,0.018284,0.018320,3
1600,8,0.044000,0.001287,0.043255,0.045486,3
1600,16,0.044212,0.002340,0.042854,0.046913,3
1600,32,0.047094,0.007979,0.042484,0.056308,3
2000,8,0.089398,0.008869,0.084130,0.099637,3
2000,16,0.085370,0.005680,0.080432,0.091577,3
2000,32,0.085612,0.003427,0.083540,0.089568,3
